State,Establishments,Population,DUI_Count,Alc_Imp_Accidents,Total_Accidents
Alabama,5.155301392,4849377,309.1324927,26.81992337,16.14640396
Alaska,22.39620378,736732,751.6980394,40,8.1440741
Arizona,8.883628038,6731484,590.4492977,27.90123457,12.03300788
Arkansas,4.213905957,2966369,394.6575763,24.78813559,15.91170889
California,8.383480446,38802500,553.6447394,23.48717949,7.538174087
Colorado,14.09669323,5355866,526.4881534,31.22529644,9.447585134
Connecticut,8.841494524,3596677,228.961344,34.7826087,7.034270801
Delaware,7.481717888,935614,22.97956208,27.86885246,13.03956546
District of Columbia,22.76545661,658893,****,21.73913043,3.490703346
Florida,9.028166623,19893297,310.9187984,22.23045572,13.56738403
Georgia,4.298160417,10097343,251.7592995,21.70308968,13.14207114
Hawaii,16.69530228,1419561,409.4223496,27.90697674,6.058210954
Idaho,19.21119095,1634464,725.0083208,35.35353535,12.11406308
Illinois,20.58137134,12880580,38.11163783,28.88402626,7.095953754
Indiana,14.70397636,6596855,355.8513868,18.78306878,11.46000632
Iowa,29.35188338,3107126,455.3082173,28.36879433,9.075911308
Kansas,13.0164348,2904021,450.409966,21.73913043,11.08807409
Kentucky,7.091946291,4413457,53.5407958,27.66570605,15.72463491
Louisiana,17.76467866,4649676,171.560341,35.3115727,14.49563367
Maine,8.570855033,1330089,546.5799657,47.22222222,10.8263432
Maryland,8.567020285,5976407,396.7935919,30.29661017,7.897721825
Massachusetts,12.14159321,6745408,191.8490327,23.36769759,4.314045941
Michigan,14.00622833,9909877,358.5715544,26.98768197,9.011211744
Minnesota,17.35330729,5457173,546.6566664,29.6,6.871689792
Mississippi,3.907712522,2994079,388.3999053,20.52980132,20.1731484
Missouri,10.91762651,6063589,560.7899876,26.05985037,13.22649012
Montana,55.88235007,1023579,414.2328047,42.64705882,19.93006891
Nebraska,29.17880014,1881503,727.7160866,30.73394495,11.58648166
Nevada,24.7965992,2839099,508.7881754,29.05405405,10.42584285
New Hampshire,2.185688563,1326813,344.5097387,32.03883495,7.762962829
New Jersey,11.45647741,8938175,272.0130228,17.04980843,5.840118369
New Mexico,4.938693078,2085572,467.0661094,27.50929368,12.89814017
New York,17.00071614,19746227,127.4623248,20.84130019,5.297214501
North Carolina,6.46623419,9943964,498.7849916,29.7254902,12.82184851
North Dakota,56.12036534,739482,541.3248734,44.14414414,15.01050736
Ohio,17.50881025,11594163,164.6345665,30.70942663,8.875155542
Oklahoma,10.4176041,3878051,489.4211035,27.38095238,15.16225547
Oregon,21.83747628,3970239,428.5636205,37.13592233,10.37720903
Pennsylvania,21.2165141,12787209,416.9713657,29.85480944,8.617986927
Rhode Island,23.02939897,1055173,263.2743635,43.90243902,3.885618756
South Carolina,7.325428217,4832482,305.0606293,31.13311331,18.81020974
South Dakota,39.03067952,853175,725.5252439,34.7826087,13.4790635
Tennessee,5.053935107,6549352,401.9023561,28.16742081,13.49751853
Texas,9.967741909,26956958,334.1103993,25.54417414,11.58884471
Utah,5.912531236,2942902,234.2585652,17.1875,8.698896531
Vermont,15.48130911,626562,422.4641775,28,7.980056243
Virginia,1.873583778,8326289,333.065547,29.11392405,8.539218372
Washington,12.02289022,7061530,494.9635561,28.87596899,7.307198298
West Virginia,22.21230205,1850326,239.3632257,28.45528455,13.29495451
Wisconsin,46.87746415,5757564,704.2735435,32.6959847,9.08370276
Wyoming,29.27315275,584153,1225.535091,40.31007752,22.08325559
